COWLEDS LANDING,COWLEDS LANDING SA 5601
DOUGLAS POINT,DOUGLAS POINT SA 5061
DOUGLAS POINT SOUTH,DOUGLAS POINT SOUTH SA 5061
FALSE BAY,FALSE BAY SA 5601
FITZGERALD BAY,FITZGERALD BAY SA 5601
MIDDLEBACK RANGE,MIDDLEBACK RANGE SA 5600
MULLAQUANA,MULLAQUANA SA 5601
MURNINNIE BEACH,MURNINNIE BEACH SA 5601
POINT LOWLY,POINT LOWLY SA 5601
POINT LOWLY NORTH,POINT LOWLY NORTH SA 5601
PORT BONYTHON,PORT BONYTHON SA 5601
WHYALLA,WHYALLA SA 5600
WHYALLA BARSON,WHYALLA BARSON SA 5601
WHYALLA JENKINS,WHYALLA JENKINS SA 5609
WHYALLA NORRIE,WHYALLA NORRIE SA 5608
WHYALLA PLAYFORD,WHYALLA PLAYFORD SA 5600
WHYALLA STUART,WHYALLA STUART SA 5608
